,rows,mae,rmse,status
"H2, 605C",62,0.15813470729481122,0.2070604021534149,OK
"MeOH+H2O, 605C",50,0.18287936420490797,0.24410849226982156,OK
MeOH+H2O,31,0.08217441461801744,0.09933302018301247,OK
"MeOH+H2O, 605C ",18,0.2158237266927031,0.2611919612592813,OK
"MeOH+H2O, 640C",8,0.6737484830695064,0.7074112923117162,OK
